class_id,class_name,collection_id,collection_description,property_id,property,property_description,models_used,total_models,fraction,models_list
11,Abatement,64,Purchaser objects,577,Bid Price,Value of energy in band,3,16,0.1875,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Step Change ISP Model']"
11,Abatement,64,Purchaser objects,576,Bid Quantity,Quantity bid in band,3,16,0.1875,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Step Change ISP Model']"
11,Abatement,64,Purchaser objects,546,Fixed Load,Fixed load,3,16,0.1875,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Step Change ISP Model']"
11,Abatement,64,Purchaser objects,582,Load Obligation,Load obligation for capacity reserves.,3,16,0.1875,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Step Change ISP Model']"
11,Abatement,64,Purchaser objects,553,Max Energy Month,Maximum energy in month,3,16,0.1875,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Step Change ISP Model']"
11,Abatement,64,Purchaser objects,545,Max Load,Maximum load (sum of cleared demand bids),3,16,0.1875,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Step Change ISP Model']"
11,Abatement,64,Purchaser objects,559,Min Energy Month,Minimum energy in month,3,16,0.1875,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Step Change ISP Model']"
11,Abatement,113,Emission objects,1262,Price,Price charged per unit of emission (accounting only),1,16,0.0625,['CAISOSA25 20250505']
11,Abatement,113,Emission objects,1263,Shadow Price,Shadow price (marginal cost) of emissions,1,16,0.0625,['CAISOSA25 20250505']
11,Abatement,64,Purchaser objects,543,Units,Flag if the Purchaser is in service,3,16,0.1875,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Step Change ISP Model']"
7,Battery,45,Storage objects,430,Balance Period,Frequency of storage balance,4,16,0.25,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model']"
7,Battery,79,Battery objects,879,Build Cost,Cost of building a BESS unit,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
7,Battery,79,Battery objects,802,Capacity,Capacity of the BESS,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
7,Battery,80,Battery objects,850,Capacity,Capacity of the BESS,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,80,Battery objects,876,Capacity,Capacity of the BESS,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,79,Battery objects,808,Charge Efficiency,Efficiency of charging,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
7,Battery,80,Battery objects,857,Charge Efficiency,Efficiency of charging,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,80,Battery objects,883,Charge Efficiency,Efficiency of charging,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,80,Battery objects,860,Charging VO&M Charge,Variable operation and maintenance charge for charging,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
